,selling_price,km_driven,fuel,seller_type,transmission,owner,car_model,Age
0,60000,70000,Petrol,Individual,Manual,First Owner,Maruti 800,16
1,135000,50000,Petrol,Individual,Manual,First Owner,Maruti Wagon,16
2,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai Verna,11
3,250000,46000,Petrol,Individual,Manual,First Owner,Datsun RediGO,6
4,450000,141000,Diesel,Individual,Manual,Second Owner,Honda Amaze,9
5,140000,125000,Petrol,Individual,Manual,First Owner,Maruti Alto,16
6,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai Xcent,7
7,240000,60000,Petrol,Individual,Manual,Second Owner,Tata Indigo,9
8,850000,25000,Petrol,Individual,Manual,First Owner,Hyundai Creta,8
9,365000,78000,CNG,Individual,Manual,First Owner,Maruti Celerio,6
10,260000,35000,Petrol,Individual,Manual,First Owner,Chevrolet Sail,8
11,250000,100000,Petrol,Individual,Manual,First Owner,Tata Indigo,9
26,585000,24000,Petrol,Dealer,Manual,First Owner,Maruti Ciaz,8
27,1195000,5000,Diesel,Dealer,Manual,First Owner,others,4
28,390000,33000,Diesel,Individual,Manual,Second Owner,others,10
31,975000,4500,Diesel,Dealer,Automatic,First Owner,Maruti Vitara,5
33,930000,14500,Petrol,Dealer,Manual,First Owner,Honda City,5
34,525000,15000,Petrol,Individual,Manual,First Owner,others,5
37,450000,130400,Diesel,Dealer,Automatic,Second Owner,Skoda Superb,12
38,900000,50000,Petrol,Individual,Automatic,First Owner,Toyota Corolla,7
41,850000,119000,Petrol,Dealer,Automatic,First Owner,others,13
42,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai i10,9
45,625000,40000,Diesel,Individual,Manual,First Owner,others,11
46,1050000,50000,Diesel,Individual,Manual,First Owner,Mahindra Scorpio,9
47,560000,74000,Diesel,Individual,Manual,Second Owner,Honda City,9
48,290000,64000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,9
49,275000,60000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,11
50,411000,120000,Diesel,Individual,Manual,Second Owner,Mahindra Scorpio,14
51,150000,79000,Petrol,Individual,Manual,Third Owner,Hyundai Santro,14
52,500000,15000,Petrol,Individual,Manual,First Owner,Hyundai Grand,4
53,100000,80000,Petrol,Individual,Manual,First Owner,Maruti Alto,17
54,725000,18500,Diesel,Dealer,Manual,First Owner,Maruti Swift,6
55,401000,10200,Petrol,Dealer,Manual,First Owner,Maruti Eeco,5
56,750000,29000,Diesel,Dealer,Manual,First Owner,Hyundai i20,5
57,310000,28000,Petrol,Dealer,Manual,First Owner,Maruti Omni,5
58,665000,46000,Diesel,Dealer,Manual,First Owner,Maruti Swift,7
